Store,Date,Weekly_Sales,Temperature,Fuel_Price
1,08-06-2012,1697230.96,78.3,3.452
1,15-06-2012,1630607.0,79.35,3.393
1,22-06-2012,1527845.81,78.39,3.346
1,29-06-2012,1540421.49,84.88,3.286
1,06-07-2012,1769854.16,81.57,3.227
1,13-07-2012,1527014.04,77.12,3.256
1,20-07-2012,1497954.76,80.42,3.311
1,27-07-2012,1439123.71,82.66,3.407
1,03-08-2012,1631135.79,86.11,3.417
1,10-08-2012,1592409.97,85.05,3.494
1,17-08-2012,1597868.05,84.85,3.571
1,24-08-2012,1494122.38,77.66,3.62
1,31-08-2012,1582083.4,80.49,3.638
1,07-09-2012,1661767.33,83.96,3.73
1,14-09-2012,1517428.87,74.97,3.717
1,21-09-2012,1506126.06,69.87,3.721
1,28-09-2012,1437059.26,76.08,3.666
1,05-10-2012,1670785.97,68.55,3.617
1,12-10-2012,1573072.81,62.99,3.601
1,19-10-2012,1508068.77,67.97,3.594
1,26-10-2012,1493659.74,69.16,3.506
2,05-02-2010,2136989.46,40.19,2.572
2,12-02-2010,2137809.5,38.49,2.548
2,19-02-2010,2124451.54,39.69,2.514
2,26-02-2010,1865097.27,46.1,2.561
2,05-03-2010,1991013.13,47.17,2.625
2,12-03-2010,1990483.78,57.56,2.667
2,19-03-2010,1946070.88,54.52,2.72
2,26-03-2010,1750197.81,51.26,2.732
2,02-04-2010,2066187.72,63.27,2.719
2,09-04-2010,1954689.21,65.41,2.77
2,16-04-2010,1874957.94,68.07,2.808
2,23-04-2010,1821990.93,65.11,2.795
2,30-04-2010,1802450.29,66.98,2.78
2,07-05-2010,2042581.71,71.28,2.835
2,14-05-2010,1880752.36,73.31,2.854
2,21-05-2010,1896937.1,74.83,2.826
2,28-05-2010,1957113.89,81.13,2.759
2,04-06-2010,2102539.93,81.81,2.705
2,11-06-2010,2025538.76,83.4,2.668
2,18-06-2010,2001636.96,85.81,2.637
2,25-06-2010,1939927.09,86.26,2.653
2,02-07-2010,2003940.64,82.74,2.669
2,09-07-2010,1880902.62,82.59,2.642
2,16-07-2010,1845879.79,85.32,2.623
2,23-07-2010,1781717.71,87.66,2.608
2,30-07-2010,1804246.16,83.49,2.64
2,06-08-2010,1991909.98,89.53,2.627
2,13-08-2010,1895601.05,89.05,2.692
2,20-08-2010,1964335.23,88.7,2.664
2,27-08-2010,1863840.49,87.12,2.619
2,03-09-2010,1904608.09,81.83,2.577
2,10-09-2010,1839128.83,79.09,2.565
2,17-09-2010,1793903.6,82.05,2.582
2,24-09-2010,1724557.22,81.79,2.624
2,01-10-2010,1827440.43,69.24,2.603
2,08-10-2010,1849921.44,63.19,2.633
2,15-10-2010,1794355.49,65.8,2.72
2,22-10-2010,1737947.64,68.5,2.725
2,29-10-2010,1802755.11,66.24,2.716
2,05-11-2010,1939061.41,57.85,2.689
2,12-11-2010,1916812.74,59.69,2.728
2,19-11-2010,1956739.17,50.81,2.771
2,26-11-2010,2658725.29,62.98,2.735
2,03-12-2010,2015781.27,49.33,2.708
2,10-12-2010,2378726.55,45.5,2.843
2,17-12-2010,2609166.75,47.55,2.869
2,24-12-2010,3436007.68,49.97,2.886
2,31-12-2010,1750434.55,47.3,2.943
2,07-01-2011,1758050.79,44.69,2.976
2,14-01-2011,1744193.58,33.02,2.983
2,21-01-2011,1751384.9,41.4,3.016
2,28-01-2011,1695371.68,42.83,3.01
2,04-02-2011,1929346.23,38.25,2.989
2,11-02-2011,2168041.61,33.19,3.022
2,18-02-2011,2080884.82,57.83,3.045
2,25-02-2011,1833511.08,60.8,3.065
2,04-03-2011,1981607.78,57.77,3.288
2,11-03-2011,1879107.31,52.7,3.459
2,18-03-2011,1902557.66,62.32,3.488
2,25-03-2011,1766162.05,69.42,3.473
2,01-04-2011,1800171.36,55.43,3.524
2,08-04-2011,1847552.61,67.0,3.622
2,15-04-2011,1856467.84,69.48,3.743
2,22-04-2011,1886339.6,69.39,3.807
2,29-04-2011,1745545.28,69.21,3.81
2,06-05-2011,1837743.6,61.48,3.906
2,13-05-2011,1838513.07,74.61,3.899
2,20-05-2011,1688281.86,67.14,3.907
2,27-05-2011,1797732.56,76.42,3.786
2,03-06-2011,1933756.21,83.07,3.699
2,10-06-2011,1929153.16,83.4,3.648
2,17-06-2011,1953771.99,86.53,3.637
2,24-06-2011,1790925.8,85.17,3.594
2,01-07-2011,1866243.0,85.69,3.524
2,08-07-2011,1853161.99,87.7,3.48
2,15-07-2011,1785187.29,89.83,3.575
2,22-07-2011,1743816.41,89.34,3.651
2,29-07-2011,1680693.06,90.07,3.682
2,05-08-2011,1876704.26,93.34,3.684
2,12-08-2011,1812768.26,91.58,3.638
2,19-08-2011,1844094.59,89.86,3.554
2,26-08-2011,1821139.91,90.45,3.523
2,02-09-2011,1809119.7,89.64,3.533
2,09-09-2011,1748000.65,77.97,3.546
2,16-09-2011,1691439.52,78.85,3.526
2,23-09-2011,1669299.78,75.58,3.467
2,30-09-2011,1650394.44,78.14,3.355
2,07-10-2011,1837553.43,69.92,3.285
2,14-10-2011,1743882.19,71.67,3.274
2,21-10-2011,1834680.25,64.53,3.353
2,28-10-2011,1769296.25,65.87,3.372
2,04-11-2011,1959707.9,55.53,3.332
2,11-11-2011,1920725.15,59.33,3.297
2,18-11-2011,1902762.5,62.01,3.308
2,25-11-2011,2614202.3,56.36,3.236
2,02-12-2011,1954952.0,48.74,3.172
2,09-12-2011,2290549.32,41.76,3.158
2,16-12-2011,2432736.52,50.13,3.159
2,23-12-2011,3224369.8,46.66,3.112
2,30-12-2011,1874226.52,44.57,3.129
2,06-01-2012,1799520.14,46.75,3.157
2,13-01-2012,1744725.48,45.99,3.261
2,20-01-2012,1711769.11,51.7,3.268
2,27-01-2012,1660906.14,50.5,3.29
2,03-02-2012,1935299.94,55.21,3.36
2,10-02-2012,2103322.68,46.98,3.409
2,17-02-2012,2196688.46,43.82,3.51
2,24-02-2012,1861802.7,54.63,3.555
2,02-03-2012,1952555.66,58.79,3.63
2,09-03-2012,1937628.26,57.11,3.669
2,16-03-2012,1976082.13,63.68,3.734
2,23-03-2012,1790439.16,64.01,3.787
2,30-03-2012,1857480.84,66.83,3.845
2,06-04-2012,2129035.91,68.43,3.891
2,13-04-2012,1935869.1,68.08,3.891
2,20-04-2012,1847344.45,65.69,3.877
2,27-04-2012,1764133.09,67.2,3.814
2,04-05-2012,1923957.09,76.73,3.749
2,11-05-2012,1917520.99,73.87,3.688
2,18-05-2012,2000940.67,71.27,3.63
2,25-05-2012,1912791.09,78.19,3.561
2,01-06-2012,1910092.37,78.38,3.501
2,08-06-2012,2010216.49,78.69,3.452
2,15-06-2012,1962924.3,80.56,3.393
2,22-06-2012,1887733.21,81.04,3.346
2,29-06-2012,1881046.12,86.32,3.286
2,06-07-2012,2041507.4,84.2,3.227
2,13-07-2012,1830075.13,80.17,3.256
2,20-07-2012,1819666.46,83.23,3.311
2,27-07-2012,1757923.88,86.37,3.407
2,03-08-2012,1946104.64,90.22,3.417
2,10-08-2012,1866719.96,88.55,3.494
2,17-08-2012,1928016.01,84.79,3.571
2,24-08-2012,1876788.15,76.91,3.62
2,31-08-2012,1947083.3,82.64,3.638
2,07-09-2012,1898777.07,87.65,3.73
2,14-09-2012,1814806.63,75.88,3.717
2,21-09-2012,1829415.67,71.09,3.721
2,28-09-2012,1746470.56,79.45,3.666
2,05-10-2012,1998321.04,70.27,3.617
2,12-10-2012,1900745.13,60.97,3.601
2,19-10-2012,1847990.41,68.08,3.594
2,26-10-2012,1834458.35,69.79,3.506
3,05-02-2010,461622.22,45.71,2.572
3,12-02-2010,420728.96,47.93,2.548
3,19-02-2010,421642.19,47.07,2.514
3,26-02-2010,407204.86,52.05,2.561
3,05-03-2010,415202.04,53.04,2.625
3,12-03-2010,384200.69,63.08,2.667
3,19-03-2010,375328.59,60.42,2.72
3,26-03-2010,359949.27,57.06,2.732
3,02-04-2010,423294.4,65.56,2.719
3,09-04-2010,415870.28,68.0,2.77
3,16-04-2010,354993.26,66.98,2.808
3,23-04-2010,339976.65,67.87,2.795
3,30-04-2010,361248.39,70.24,2.78
3,07-05-2010,399323.86,73.47,2.835
3,14-05-2010,384357.94,77.18,2.854
3,21-05-2010,343763.17,75.81,2.826
3,28-05-2010,350089.23,78.6,2.759
3,04-06-2010,396968.8,78.53,2.705
3,11-06-2010,355017.09,82.1,2.668
3,18-06-2010,364076.85,83.52,2.637
3,25-06-2010,357346.48,83.79,2.653
3,02-07-2010,381151.72,82.2,2.669
3,09-07-2010,349214.18,81.75,2.642
3,16-07-2010,352728.78,84.32,2.623
3,23-07-2010,352864.49,83.32,2.608
3,30-07-2010,347955.05,82.04,2.64
3,06-08-2010,402635.76,85.13,2.627
3,13-08-2010,339597.38,86.74,2.692
3,20-08-2010,351728.21,88.02,2.664
3,27-08-2010,362134.09,86.15,2.619
3,03-09-2010,366473.97,84.16,2.577
3,10-09-2010,352260.97,80.84,2.565
3,17-09-2010,363064.64,82.36,2.582
3,24-09-2010,355626.87,76.9,2.624
3,01-10-2010,358784.1,73.6,2.603
3,08-10-2010,395107.35,66.99,2.633
3,15-10-2010,345584.39,69.71,2.72
3,22-10-2010,348895.98,71.64,2.725
3,29-10-2010,348591.74,72.04,2.716
3,05-11-2010,423175.56,62.94,2.689
3,12-11-2010,386635.03,62.79,2.728
3,19-11-2010,372545.32,57.72,2.771
3,26-11-2010,565567.84,68.71,2.735
3,03-12-2010,476420.77,53.76,2.708
3,10-12-2010,467642.03,51.13,2.843
3,17-12-2010,498159.39,52.2,2.869
3,24-12-2010,605990.41,57.16,2.886
3,31-12-2010,382677.76,53.2,2.943
3,07-01-2011,378241.34,53.35,2.976
3,14-01-2011,381061.1,44.76,2.983
3,21-01-2011,350876.7,50.74,3.016
3,28-01-2011,364866.24,48.71,3.01
3,04-02-2011,438516.53,45.95,2.989
3,11-02-2011,430526.21,43.57,3.022
3,18-02-2011,432782.1,61.58,3.045
3,25-02-2011,397211.19,67.4,3.065
3,04-03-2011,437084.51,65.11,3.288
3,11-03-2011,404753.3,61.29,3.459
3,18-03-2011,392109.51,69.47,3.488
3,25-03-2011,380683.67,72.94,3.473
3,01-04-2011,374556.08,68.76,3.524
3,08-04-2011,384075.31,72.55,3.622
3,15-04-2011,366250.69,75.88,3.743
3,22-04-2011,391860.04,76.91,3.807
3,29-04-2011,367405.4,78.69,3.81
3,06-05-2011,413042.12,69.45,3.906
3,13-05-2011,386312.68,79.87,3.899
3,20-05-2011,364603.13,75.79,3.907
3,27-05-2011,369350.6,84.41,3.786
3,03-06-2011,394507.84,84.29,3.699
3,10-06-2011,391638.75,84.84,3.648
3,17-06-2011,403423.34,86.96,3.637
3,24-06-2011,385520.71,84.94,3.594
3,01-07-2011,368962.72,85.1,3.524
3,08-07-2011,395146.24,85.38,3.48
3,15-07-2011,373454.33,87.14,3.575
3,22-07-2011,360617.37,86.19,3.651
3,29-07-2011,345381.29,88.07,3.682
3,05-08-2011,409981.25,88.45,3.684
3,12-08-2011,380376.85,88.88,3.638
3,19-08-2011,379716.91,88.44,3.554
3,26-08-2011,366367.55,87.67,3.523
3,02-09-2011,375988.69,89.12,3.533
3,09-09-2011,377347.49,81.72,3.546
3,16-09-2011,375629.51,83.63,3.526
3,23-09-2011,365248.94,80.19,3.467
3,30-09-2011,368477.93,82.58,3.355
3,07-10-2011,403342.4,75.54,3.285
3,14-10-2011,368282.57,73.75,3.274
3,21-10-2011,394976.36,69.03,3.353
3,28-10-2011,389540.62,71.04,3.372
3,04-11-2011,459443.22,59.31,3.332
3,11-11-2011,407764.25,61.7,3.297
3,18-11-2011,398838.97,63.91,3.308
3,25-11-2011,556925.19,68.0,3.236
3,02-12-2011,472511.32,54.97,3.172
3,09-12-2011,468772.8,49.26,3.158
3,16-12-2011,510747.62,57.95,3.159
3,23-12-2011,551221.21,53.41,3.112
3,30-12-2011,410553.88,48.29,3.129
3,06-01-2012,398178.21,52.42,3.157
3,13-01-2012,367438.62,51.86,3.261
3,20-01-2012,365818.61,56.2,3.268
3,27-01-2012,349518.1,58.06,3.29
3,03-02-2012,424960.66,59.33,3.36
3,10-02-2012,473292.47,51.65,3.409
3,17-02-2012,475591.08,52.39,3.51
3,24-02-2012,418925.47,60.12,3.555
3,02-03-2012,469752.56,61.65,3.63
3,09-03-2012,445162.05,60.71,3.669
3,16-03-2012,411775.8,64.0,3.734
3,23-03-2012,413907.25,66.53,3.787
3,30-03-2012,407488.84,69.36,3.845
3,06-04-2012,503232.13,73.01,3.891
3,13-04-2012,420789.74,72.83,3.891
3,20-04-2012,434822.13,72.05,3.877
3,27-04-2012,394616.11,73.39,3.814
3,04-05-2012,439913.57,79.51,3.749
3,11-05-2012,431985.36,75.19,3.688
3,18-05-2012,418112.76,72.38,3.63
3,25-05-2012,413701.29,78.58,3.561
3,01-06-2012,432268.53,81.55,3.501
3,08-06-2012,446336.8,81.65,3.452
3,15-06-2012,442074.79,84.66,3.393
3,22-06-2012,419497.95,82.7,3.346
3,29-06-2012,422965.33,86.42,3.286
3,06-07-2012,411206.5,83.14,3.227
3,13-07-2012,416913.1,82.28,3.256
3,20-07-2012,432424.85,81.38,3.311
3,27-07-2012,389427.9,84.94,3.407
3,03-08-2012,419990.29,86.55,3.417
3,10-08-2012,391811.6,85.85,3.494
3,17-08-2012,394918.83,87.36,3.571
3,24-08-2012,412449.67,83.01,3.62
3,31-08-2012,408838.73,85.18,3.638
3,07-09-2012,408229.73,84.99,3.73
3,14-09-2012,407589.16,78.36,3.717
3,21-09-2012,414392.09,72.78,3.721
3,28-09-2012,389813.02,77.46,3.666
3,05-10-2012,443557.65,72.74,3.617
3,12-10-2012,410804.39,70.31,3.601
3,19-10-2012,424513.08,73.44,3.594
3,26-10-2012,405432.7,74.66,3.506
4,05-02-2010,2135143.87,43.76,2.598
4,12-02-2010,2188307.39,28.84,2.573
4,19-02-2010,2049860.26,36.45,2.54
4,26-02-2010,1925728.84,41.36,2.59
4,05-03-2010,1971057.44,43.49,2.654
4,12-03-2010,1894324.09,49.63,2.704
4,19-03-2010,1897429.36,55.19,2.743
4,26-03-2010,1762539.3,39.91,2.752
4,02-04-2010,1979247.12,48.77,2.74
4,09-04-2010,1818452.72,54.16,2.773
4,16-04-2010,1851519.69,56.23,2.81
4,23-04-2010,1802677.9,56.87,2.805
4,30-04-2010,1817273.28,53.04,2.787
4,07-05-2010,2000626.14,56.77,2.836
4,14-05-2010,1875597.28,62.35,2.845
4,21-05-2010,1903752.6,67.4,2.82
4,28-05-2010,1857533.7,67.73,2.756
4,04-06-2010,1903290.58,70.83,2.701
4,11-06-2010,1870619.23,78.45,2.668
4,18-06-2010,1929736.35,81.53,2.635
4,25-06-2010,1846651.95,81.1,2.654
4,02-07-2010,1881337.21,73.66,2.668
4,09-07-2010,1812208.22,80.35,2.637
4,16-07-2010,1898427.66,78.53,2.621
4,23-07-2010,1848426.78,79.78,2.612
4,30-07-2010,1796637.61,80.7,2.65
4,06-08-2010,1907638.58,76.53,2.64
4,13-08-2010,2007050.75,78.08,2.698
4,20-08-2010,1997181.09,78.83,2.671
4,27-08-2010,1848403.92,74.44,2.621
4,03-09-2010,1935857.58,76.8,2.584
4,10-09-2010,1865820.81,73.54,2.574
4,17-09-2010,1899959.61,64.91,2.594
4,24-09-2010,1810684.68,60.96,2.642
4,01-10-2010,1842821.02,63.96,2.619
4,08-10-2010,1951494.85,67.73,2.645
4,15-10-2010,1867345.09,62.03,2.732
4,22-10-2010,1927610.06,64.17,2.736
4,29-10-2010,1933333.0,56.94,2.718
4,05-11-2010,2013115.79,51.6,2.699
4,12-11-2010,1999794.26,52.65,2.741
4,19-11-2010,2097809.4,48.05,2.78
4,26-11-2010,2789469.45,48.08,2.752
4,03-12-2010,2102530.17,46.4,2.727
4,10-12-2010,2302504.86,42.4,2.86
4,17-12-2010,2740057.14,46.57,2.884
4,24-12-2010,3526713.39,43.21,2.887
4,31-12-2010,1794868.74,38.09,2.955
4,07-01-2011,1862476.27,39.34,2.98
4,14-01-2011,1865502.46,31.6,2.992
4,21-01-2011,1886393.94,38.34,3.017
4,28-01-2011,1814240.85,40.6,3.022
4,04-02-2011,2119086.04,34.61,2.996
4,11-02-2011,2187847.29,33.29,3.033
4,18-02-2011,2316495.56,48.17,3.058
4,25-02-2011,2078094.69,49.0,3.087
4,04-03-2011,2103455.75,46.56,3.305
4,11-03-2011,2039818.41,50.93,3.461
4,18-03-2011,2116475.38,51.86,3.495
4,25-03-2011,1944164.32,59.1,3.48
4,01-04-2011,1900246.47,56.99,3.521
4,08-04-2011,2074953.46,62.61,3.605
4,15-04-2011,1960587.76,62.34,3.724
4,22-04-2011,2220600.76,68.8,3.781
4,29-04-2011,1878167.44,64.22,3.781
4,06-05-2011,2063682.76,63.41,3.866
4,13-05-2011,2002362.37,70.65,3.872
4,20-05-2011,2015563.48,70.49,3.881
4,27-05-2011,1986597.95,73.65,3.771
4,03-06-2011,2065377.15,78.26,3.683
4,10-06-2011,2073951.38,80.05,3.64
4,17-06-2011,2141210.62,83.51,3.618
4,24-06-2011,2008344.92,81.85,3.57
4,01-07-2011,2051533.53,84.54,3.504
4,08-07-2011,2066541.86,84.59,3.469
4,15-07-2011,2049046.95,83.27,3.563
4,22-07-2011,2036231.39,82.84,3.627
4,29-07-2011,1989674.07,84.36,3.659
4,05-08-2011,2160057.39,86.09,3.662
4,12-08-2011,2105668.74,82.98,3.617
4,19-08-2011,2232892.1,82.77,3.55
4,26-08-2011,1988490.21,81.47,3.523
4,02-09-2011,2078420.31,77.99,3.533
4,09-09-2011,2093139.01,73.34,3.554
4,16-09-2011,2075577.33,72.76,3.532
4,23-09-2011,2031406.41,69.23,3.473
4,30-09-2011,1929486.63,72.15,3.371
4,07-10-2011,2166737.65,65.79,3.299
4,14-10-2011,2074548.85,63.75,3.283
4,21-10-2011,2207742.13,64.79,3.361
4,28-10-2011,2151659.59,55.31,3.362
4,04-11-2011,2281217.31,49.86,3.322
4,11-11-2011,2203028.96,47.12,3.286
4,18-11-2011,2243946.59,50.44,3.294
4,25-11-2011,3004702.33,47.96,3.225
4,02-12-2011,2180999.26,38.71,3.176
4,09-12-2011,2508955.24,31.64,3.153
4,16-12-2011,2771397.17,36.44,3.149
4,23-12-2011,3676388.98,35.92,3.103
4,30-12-2011,2007105.86,36.89,3.119
4,06-01-2012,2047766.07,38.64,3.158
4,13-01-2012,1941676.61,34.41,3.263
4,20-01-2012,2005097.76,42.09,3.273
4,27-01-2012,1928720.51,40.31,3.29
4,03-02-2012,2173373.91,41.81,3.354
4,10-02-2012,2374660.64,33.0,3.411
4,17-02-2012,2427640.17,34.19,3.493
4,24-02-2012,2226662.17,41.31,3.541
4,02-03-2012,2206319.9,50.38,3.619
4,09-03-2012,2202450.81,53.63,3.667
4,16-03-2012,2214967.44,59.81,3.707
4,23-03-2012,2091592.54,59.07,3.759
4,30-03-2012,2089381.77,72.63,3.82
4,06-04-2012,2470206.13,67.69,3.864
4,13-04-2012,2105301.39,68.69,3.881
4,20-04-2012,2144336.89,68.6,3.864
4,27-04-2012,2064065.66,76.47,3.81
4,04-05-2012,2196968.33,80.14,3.747
4,11-05-2012,2127661.17,67.64,3.685
4,18-05-2012,2207214.81,68.43,3.62
4,25-05-2012,2154137.67,77.47,3.551
4,01-06-2012,2179360.94,77.41,3.483
4,08-06-2012,2245257.18,78.11,3.433
4,15-06-2012,2234190.93,80.94,3.372
4,22-06-2012,2197299.65,81.63,3.329
4,29-06-2012,2128362.92,84.23,3.257
4,06-07-2012,2224499.28,80.37,3.187
4,13-07-2012,2100252.61,76.86,3.224
4,20-07-2012,2175563.69,79.14,3.263
4,27-07-2012,2048613.65,81.06,3.356
4,03-08-2012,2174514.13,83.86,3.374
4,10-08-2012,2193367.69,83.21,3.476
4,17-08-2012,2283540.3,81.41,3.552
4,24-08-2012,2125241.68,75.76,3.61
4,31-08-2012,2081181.35,76.47,3.646
4,07-09-2012,2125104.72,82.09,3.709
4,14-09-2012,2117854.6,68.2,3.706
4,21-09-2012,2119438.53,68.97,3.721
4,28-09-2012,2027620.23,71.74,3.666
4,05-10-2012,2209835.43,63.07,3.62
4,12-10-2012,2133026.07,57.11,3.603
4,19-10-2012,2097266.85,64.46,3.61
4,26-10-2012,2149594.46,63.64,3.514
5,05-02-2010,317173.1,39.7,2.572
5,12-02-2010,311825.7,39.81,2.548
5,19-02-2010,303447.57,41.14,2.514
5,26-02-2010,270281.63,46.7,2.561
5,05-03-2010,288855.71,48.89,2.625
5,12-03-2010,297293.59,58.5,2.667
5,19-03-2010,281706.41,55.46,2.72
5,26-03-2010,273282.97,52.47,2.732
5,02-04-2010,331406.0,63.18,2.719
5,09-04-2010,328020.49,65.19,2.77
5,16-04-2010,306858.69,65.3,2.808
5,23-04-2010,288839.73,65.13,2.795
5,30-04-2010,298697.84,67.53,2.78
5,07-05-2010,333522.6,71.53,2.835
5,14-05-2010,296673.77,74.79,2.854
5,21-05-2010,301615.49,75.2,2.826
5,28-05-2010,310013.11,79.81,2.759
5,04-06-2010,337825.89,79.54,2.705
5,11-06-2010,296641.91,80.7,2.668
5,18-06-2010,313795.6,83.91,2.637
5,25-06-2010,295257.3,83.72,2.653
5,02-07-2010,305993.27,81.25,2.669
5,09-07-2010,291808.87,81.14,2.642
5,16-07-2010,280701.7,83.98,2.623
5,23-07-2010,274742.63,83.66,2.608
5,30-07-2010,268929.03,82.46,2.64
5,06-08-2010,303043.02,86.1,2.627
5,13-08-2010,286477.35,87.41,2.692
5,20-08-2010,287205.38,87.71,2.664
5,27-08-2010,288519.75,87.05,2.619
5,03-09-2010,323798.0,84.06,2.577
5,10-09-2010,306533.08,79.86,2.565
5,17-09-2010,282558.65,82.28,2.582
5,24-09-2010,293131.58,78.53,2.624
5,01-10-2010,283178.12,71.1,2.603
5,08-10-2010,290494.85,64.99,2.633
5,15-10-2010,280681.2,68.11,2.72
5,22-10-2010,284988.27,70.96,2.725
5,29-10-2010,278031.81,70.58,2.716
5,05-11-2010,325310.3,58.88,2.689
5,12-11-2010,301827.36,62.37,2.728
5,19-11-2010,297384.81,52.52,2.771
